genreId,name
0,
427,ska
786,dubstep
864,grindcore
34,music
776,downtempo
750,nwobhm
625,latin
676,dance
530,rap
840,soundtrack
417,alt-country
759,metal
757,shoegaze
756,afropop
44,dancer
753,goregrind
856,folk
867,bluegrass
479,50s
604,90s
704,singer/songwriter
672,remix
43,singer
835,classical
879,ambient
585,cumbia
39,rapper
828,symphony
806,pop
836,rock
872,electronic
749,noise
422,banda
7,d.j
873,americana
841,gothic
727,break
878,techno
715,lo-fi
875,http://www.myspace.com/oyasaba
761,chiptune
31,swing
122,00s
855,avant-garde
450,80s
865,country
404,dj/producer
652,opera
880,singer-songwriter
1,dj
822,jazz
535,crunk
870,psychedelic
644,club
881,http://www.myspace.com/danceswithwhitegirls
670,comedy
45,author
471,(hysterical)
474,roots
849,trance
731,drone
734,Let&
627,fusion
748,screamo
758,celtic
826,punk
732,gospel
770,70s
850,indie
877,death metal
662,jrock
876,post-hardcore
629,soul
603,emo
406,disco
787,flamenco
772,house
862,blues
136,comedian
771,breakbeat
717,electro
716,glitch
871,rock/alternative/experimental
866,synthpop
848,metalcore
32,comix
869,hip hop
747,folk-pop
854,comedian-rapper-producer
793,electropop
57,vocalist
760,sludge
790,hardcore
874,alternative
9,sax
851,r&b
630,dub
22,bass
844,industrial
127,60s
441,progressive
853,rockabilly
25,comic
611,funk
661,reggae
