subGenreId,parentGenreId,name
1153,0,
574,543,jazz pop
1016,844,industrial
977,301,electronica
886,758,celtic
1142,34,music
1130,676,dance
872,741,soul jazz
417,412,rap
1057,862,blues
1046,759,black metal
784,688,rock 'n roll
1110,530,detroit rap
941,754,hard rock
704,638,modern rock
1097,856,folk
1068,865,country
1149,806,pop
880,756,afropop
1109,878,techno
1026,806,brazilian pop music
835,732,gospel
660,554,eurodance
939,786,dubstep
680,625,latin
987,822,jazz
1141,865,country
621,585,cumbia
658,606,vocal jazz
1011,840,soundtrack
933,754,progressive rock
951,754,heavy rock
919,742,country music
1055,849,progressive trance
1126,627,fusion
493,479,50s
925,774,punk
684,629,soul
1035,732,gospel
913,754,pop rock
992,826,punk
1123,850,indie
448,441,progressive
1116,759,death metal
39,39,rapper
829,603,emo
905,770,70s
730,631,house
1127,862,blues
1093,870,psychedelic
718,652,opera
644,604,90s
733,653,modern jazz
940,787,flamenco
922,754,alternative rock
659,606,jazz piano
1036,441,progressive
1108,836,indie rock
486,474,roots
967,806,pop
550,451,latin
1099,874,alternative
1033,836,garage rock
1150,759,metal
910,678,electric blues
763,679,melodic rock
911,772,house
1105,835,classical
1122,836,rock
7,7,DJ
1125,872,electronic
1031,759,heavy metal
648,606,jazz vocal
661,611,funk
907,678,acoustic blues
1096,872,electronic
1025,850,indie
945,790,hardcore
1027,851,R&B
1012,841,gothic
1118,474,roots
1121,629,soul
1024,849,trance
1115,879,ambient
1074,843,psychedelic pop
127,127,60s
643,603,emo
458,450,80s
1137,793,electropop
1135,790,hardcore
710,637,smooth jazz
685,630,dub
555,530,rap
812,717,electro
